iter	Passed	Remaining
0	147	147690
1	159	79382
2	168	55991
3	180	44965
4	192	38280
5	201	33463
6	212	30165
7	223	27686
8	233	25707
9	243	24142
10	252	22714
11	263	21705
12	274	20811
13	283	19949
14	294	19363
15	304	18722
16	314	18193
17	326	17829
18	335	17330
19	346	16986
20	359	16754
21	367	16338
22	378	16077
23	389	15834
24	397	15504
25	408	15298
26	416	15020
27	427	14829
28	438	14693
29	447	14480
30	458	14339
31	467	14151
32	476	13977
33	488	13870
34	496	13702
35	507	13593
36	517	13472
37	527	13350
38	538	13277
39	547	13135
40	558	13073
41	570	13004
42	578	12873
43	590	12832
44	599	12723
45	608	12621
46	619	12552
47	627	12438
48	638	12395
49	646	12274
50	656	12225
51	667	12170
52	675	12074
53	685	12015
54	693	11916
55	703	11867
56	713	11808
57	723	11742
58	733	11701
59	741	11623
60	752	11589
61	762	11537
62	771	11480
63	783	11458
64	792	11394
65	803	11369
66	813	11325
67	822	11273
68	833	11243
69	842	11189
70	853	11169
71	864	11142
72	873	11089
73	884	11064
74	891	10995
75	902	10969
76	912	10939
77	920	10881
78	932	10868
79	940	10815
80	952	10805
81	965	10808
82	980	10828
83	990	10800
84	1001	10778
85	1013	10766
86	1024	10748
87	1034	10721
88	1046	10709
89	1056	10681
90	1066	10656
91	1077	10630
92	1087	10602
93	1106	10666
94	1122	10695
95	1139	10733
96	1157	10776
97	1174	10811
98	1185	10789
99	1199	10791
100	1212	10794
101	1225	10789
102	1238	10783
103	1248	10758
104	1262	10759
105	1274	10750
106	1284	10719
107	1296	10708
108	1310	10710
109	1325	10728
110	1339	10731
111	1349	10701
112	1359	10673
113	1369	10642
114	1378	10607
115	1389	10587
116	1396	10540
117	1408	10527
118	1422	10532
119	1431	10494
120	1441	10474
121	1450	10440
122	1460	10411
123	1472	10403
124	1480	10361
125	1491	10345
126	1503	10331
127	1510	10293
128	1523	10285
129	1534	10270
130	1542	10234
131	1554	10219
132	1562	10186
133	1585	10245
134	1594	10213
135	1604	10192
136	1615	10174
137	1624	10145
138	1635	10130
139	1643	10095
140	1655	10082
141	1666	10068
142	1674	10036
143	1686	10023
144	1694	9990
145	1706	9982
146	1717	9966
147	1725	9935
148	1737	9924
149	1748	9910
150	1757	9883
151	1768	9868
152	1777	9840
153	1786	9815
154	1799	9810
155	1807	9777
156	1818	9763
157	1827	9736
158	1835	9710
159	1847	9697
160	1855	9667
161	1866	9656
162	1877	9638
163	1886	9614
164	1897	9601
165	1907	9583
166	1916	9558
167	1927	9543
168	1935	9519
169	1945	9500
170	1953	9472
171	1964	9455
172	1972	9430
173	1982	9409
174	1992	9390
175	2000	9366
176	2010	9348
177	2018	9322
178	2028	9306
179	2036	9276
180	2047	9262
181	2057	9247
182	2066	9224
183	2077	9212
184	2085	9186
185	2096	9173
186	2106	9158
187	2114	9134
188	2126	9125
189	2134	9099
190	2145	9088
191	2156	9074
192	2165	9053
193	2175	9039
194	2183	9015
195	2194	9001
196	2205	8988
197	2213	8965
198	2223	8950
199	2232	8928
200	2243	8916
201	2253	8901
202	2262	8881
203	2272	8865
204	2280	8845
205	2291	8832
206	2300	8813
207	2310	8798
208	2322	8789
209	2330	8768
210	2341	8757
211	2351	8741
212	2360	8721
213	2371	8710
214	2378	8685
215	2390	8676
216	2399	8658
217	2408	8640
218	2420	8632
219	2428	8610
220	2439	8597
221	2447	8577
222	2457	8562
223	2469	8553
224	2476	8530
225	2486	8516
226	2494	8494
227	2504	8481
228	2515	8470
229	2523	8448
230	2534	8436
231	2542	8415
232	2552	8401
233	2562	8387
234	2571	8371
235	2582	8360
236	2591	8341
237	2601	8329
238	2609	8307
239	2620	8299
240	2631	8286
241	2638	8265
242	2649	8252
243	2656	8232
244	2667	8220
245	2675	8200
246	2685	8185
247	2694	8169
248	2703	8152
249	2714	8143
250	2722	8124
251	2733	8113
252	2742	8097
253	2751	8082
254	2763	8073
255	2771	8053
256	2782	8044
257	2793	8034
258	2801	8014
259	2811	8003
260	2819	7983
261	2829	7970
262	2838	7953
263	2848	7940
264	2858	7929
265	2868	7915
266	2880	7907
267	2890	7894
268	2899	7880
269	2911	7871
270	2920	7857
271	2933	7851
272	2946	7845
273	2958	7839
274	2967	7824
275	2978	7814
276	2990	7806
277	2999	7791
278	3011	7783
279	3024	7777
280	3036	7768
281	3046	7757
282	3058	7748
283	3067	7733
284	3078	7723
285	3090	7714
286	3099	7701
287	3112	7694
288	3123	7685
289	3132	7669
290	3143	7658
291	3152	7644
292	3161	7629
293	3172	7617
294	3180	7600
295	3190	7587
296	3198	7570
297	3208	7558
298	3218	7545
299	3226	7529
300	3238	7519
301	3246	7503
302	3257	7492
303	3268	7482
304	3276	7466
305	3287	7456
306	3295	7439
307	3306	7429
308	3315	7414
309	3325	7401
310	3336	7390
311	3344	7374
312	3354	7363
313	3363	7348
314	3372	7334
315	3382	7321
316	3390	7306
317	3401	7295
318	3409	7278
319	3419	7266
320	3427	7250
321	3437	7237
322	3446	7224
323	3455	7209
324	3465	7198
325	3473	7182
326	3484	7170
327	3491	7153
328	3503	7144
329	3512	7132
330	3521	7117
331	3531	7106
332	3539	7089
333	3549	7077
334	3558	7063
335	3568	7051
336	3578	7040
337	3586	7024
338	3597	7014
339	3605	6998
340	3615	6987
341	3623	6972
342	3634	6961
343	3645	6951
344	3654	6937
345	3665	6927
346	3672	6910
347	3682	6899
348	3691	6885
349	3700	6871
350	3709	6858
351	3717	6843
352	3727	6832
353	3735	6817
354	3746	6806
355	3754	6791
356	3764	6779
357	3773	6767
358	3782	6752
359	3793	6743
360	3801	6728
361	3810	6716
362	3819	6702
363	3828	6690
364	3839	6680
365	3847	6665
366	3859	6656
367	3869	6644
368	3878	6633
369	3890	6624
370	3898	6610
371	3908	6598
372	3917	6584
373	3927	6574
374	3936	6561
375	3947	6550
376	3959	6542
377	3968	6530
378	3978	6518
379	3989	6509
380	3998	6495
381	4008	6485
382	4018	6473
383	4028	6461
384	4040	6453
385	4050	6443
386	4060	6432
387	4073	6424
388	4084	6415
389	4094	6404
390	4105	6394
391	4116	6384
392	4125	6371
393	4136	6362
394	4144	6347
395	4155	6337
396	4165	6326
397	4173	6313
398	4185	6303
399	4193	6290
400	4203	6278
401	4211	6264
402	4220	6252
403	4229	6240
404	4239	6228
405	4250	6218
406	4259	6205
407	4270	6195
408	4277	6181
409	4287	6170
410	4295	6156
411	4304	6143
412	4315	6133
413	4323	6119
414	4333	6109
415	4341	6094
416	4352	6084
417	4360	6070
418	4370	6060
419	4381	6051
420	4389	6037
421	4400	6026
422	4407	6012
423	4433	6022
424	4442	6009
425	4451	5997
426	4463	5989
427	4471	5975
428	4481	5964
429	4489	5951
430	4499	5939
431	4507	5926
432	4517	5914
433	4526	5903
434	4535	5891
435	4546	5880
436	4554	5867
437	4564	5856
438	4571	5842
439	4582	5831
440	4590	5819
441	4600	5807
442	4611	5798
443	4618	5784
444	4630	5774
445	4637	5760
446	4647	5749
447	4658	5740
448	4666	5726
449	4677	5716
450	4685	5703
451	4695	5692
452	4702	5678
453	4712	5667
454	4723	5658
455	4732	5645
456	4742	5635
457	4751	5622
458	4761	5611
459	4772	5602
460	4781	5590
461	4791	5579
462	4800	5567
463	4810	5557
464	4820	5546
465	4829	5534
466	4840	5525
467	4849	5512
468	4860	5502
469	4872	5494
470	4882	5483
471	4893	5473
472	4904	5464
473	4914	5453
474	4926	5445
475	4938	5437
476	4950	5427
477	4961	5417
478	4972	5408
479	4983	5398
480	4991	5385
481	5002	5376
482	5012	5365
483	5023	5356
484	5034	5346
485	5044	5334
486	5054	5324
487	5065	5314
488	5076	5304
489	5090	5298
490	5101	5288
491	5110	5277
492	5122	5267
493	5133	5258
494	5142	5245
495	5152	5235
496	5160	5222
497	5170	5212
498	5180	5201
499	5188	5188
500	5199	5178
501	5207	5165
502	5217	5155
503	5225	5142
504	5235	5131
505	5246	5122
506	5254	5109
507	5264	5099
508	5273	5087
509	5284	5077
510	5293	5065
511	5301	5052
512	5311	5042
513	5320	5030
514	5330	5020
515	5338	5007
516	5349	4997
517	5357	4985
518	5367	4974
519	5378	4964
520	5387	4953
521	5398	4943
522	5405	4930
523	5415	4919
524	5423	4907
525	5432	4895
526	5443	4885
527	5451	4872
528	5461	4863
529	5469	4850
530	5480	4840
531	5488	4828
532	5497	4816
533	5508	4807
534	5516	4795
535	5528	4785
536	5536	4773
537	5545	4762
538	5554	4750
539	5563	4739
540	5574	4729
541	5583	4717
542	5592	4706
543	5600	4694
544	5611	4684
545	5619	4673
546	5629	4661
547	5640	4652
548	5647	4639
549	5659	4630
550	5667	4618
551	5677	4608
552	5688	4597
553	5696	4585
554	5706	4575
555	5713	4562
556	5723	4551
557	5730	4539
558	5740	4529
559	5748	4516
560	5758	4506
561	5768	4495
562	5777	4484
563	5787	4474
564	5794	4461
565	5804	4450
566	5812	4439
567	5822	4428
568	5833	4418
569	5842	4407
570	5852	4397
571	5860	4385
572	5871	4375
573	5879	4363
574	5888	4352
575	5899	4343
576	5908	4331
577	5918	4321
578	5926	4309
579	5936	4298
580	5943	4286
581	5953	4275
582	5961	4264
583	5971	4253
584	5980	4242
585	5988	4231
586	5999	4221
587	6007	4209
588	6018	4199
589	6026	4187
590	6035	4177
591	6046	4167
592	6055	4155
593	6066	4146
594	6073	4134
595	6083	4123
596	6092	4112
597	6101	4101
598	6111	4091
599	6118	4079
600	6129	4069
601	6137	4057
602	6147	4047
603	6155	4035
604	6165	4025
605	6175	4015
606	6185	4004
607	6195	3994
608	6203	3983
609	6214	3972
610	6222	3961
611	6233	3951
612	6244	3942
613	6252	3930
614	6263	3921
615	6270	3909
616	6281	3898
617	6290	3888
618	6299	3877
619	6310	3867
620	6318	3856
621	6328	3846
622	6336	3834
623	6346	3823
624	6353	3812
625	6363	3801
626	6373	3791
627	6381	3779
628	6391	3770
629	6399	3758
630	6410	3748
631	6418	3737
632	6428	3726
633	6439	3717
634	6450	3707
635	6462	3698
636	6474	3689
637	6482	3678
638	6493	3668
639	6502	3657
640	6511	3646
641	6522	3637
642	6530	3626
643	6541	3616
644	6550	3605
645	6560	3594
646	6570	3584
647	6578	3573
648	6589	3563
649	6597	3552
650	6607	3542
651	6615	3531
652	6625	3520
653	6635	3510
654	6643	3499
655	6654	3489
656	6662	3478
657	6672	3468
658	6681	3457
659	6690	3446
660	6700	3436
661	6708	3425
662	6719	3415
663	6727	3404
664	6738	3394
665	6747	3383
666	6757	3373
667	6766	3363
668	6775	3352
669	6785	3342
670	6793	3331
671	6805	3321
672	6816	3312
673	6824	3300
674	6835	3291
675	6843	3280
676	6854	3270
677	6863	3259
678	6872	3249
679	6883	3239
680	6890	3227
681	6902	3218
682	6911	3207
683	6920	3197
684	6931	3187
685	6939	3176
686	6950	3166
687	6958	3155
688	6967	3145
689	6977	3134
690	6985	3123
691	6997	3114
692	7005	3103
693	7015	3093
694	7025	3083
695	7034	3072
696	7044	3062
697	7052	3051
698	7061	3040
699	7070	3030
700	7080	3019
701	7087	3008
702	7098	2998
703	7107	2988
704	7117	2978
705	7127	2968
706	7136	2957
707	7148	2948
708	7160	2938
709	7169	2928
710	7181	2919
711	7193	2909
712	7203	2899
713	7215	2890
714	7226	2880
715	7234	2869
716	7244	2859
717	7251	2848
718	7262	2838
719	7270	2827
720	7279	2816
721	7289	2806
722	7297	2795
723	7308	2786
724	7316	2775
725	7327	2765
726	7335	2754
727	7345	2744
728	7355	2734
729	7363	2723
730	7373	2713
731	7382	2702
732	7392	2692
733	7400	2682
734	7410	2671
735	7420	2661
736	7428	2650
737	7439	2641
738	7447	2630
739	7458	2620
740	7469	2610
741	7478	2600
742	7489	2590
743	7496	2579
744	7506	2569
745	7515	2558
746	7524	2548
747	7536	2539
748	7544	2528
749	7554	2518
750	7562	2507
751	7573	2497
752	7585	2488
753	7593	2477
754	7603	2467
755	7611	2456
756	7621	2446
757	7630	2436
758	7639	2425
759	7649	2415
760	7658	2405
761	7667	2394
762	7675	2384
763	7685	2374
764	7693	2363
765	7704	2353
766	7713	2343
767	7722	2332
768	7732	2322
769	7741	2312
770	7750	2302
771	7758	2291
772	7768	2281
773	7777	2271
774	7787	2260
775	7798	2251
776	7806	2240
777	7817	2230
778	7825	2219
779	7834	2209
780	7844	2199
781	7852	2189
782	7863	2179
783	7871	2168
784	7881	2158
785	7888	2147
786	7898	2137
787	7906	2127
788	7917	2117
789	7927	2107
790	7935	2096
791	7947	2087
792	7955	2076
793	7965	2066
794	7976	2056
795	7984	2046
796	7995	2036
797	8003	2025
798	8013	2015
799	8021	2005
800	8031	1995
801	8041	1985
802	8049	1974
803	8059	1964
804	8067	1954
805	8078	1944
806	8086	1933
807	8095	1923
808	8105	1913
809	8114	1903
810	8125	1893
811	8133	1883
812	8143	1873
813	8150	1862
814	8161	1852
815	8169	1842
816	8178	1832
817	8190	1822
818	8197	1811
819	8208	1801
820	8215	1791
821	8226	1781
822	8234	1770
823	8243	1760
824	8252	1750
825	8260	1740
826	8272	1730
827	8280	1720
828	8292	1710
829	8303	1700
830	8313	1690
831	8325	1681
832	8335	1671
833	8345	1661
834	8356	1651
835	8367	1641
836	8376	1631
837	8388	1621
838	8400	1611
839	8411	1602
840	8423	1592
841	8434	1582
842	8445	1572
843	8457	1563
844	8470	1553
845	8480	1543
846	8490	1533
847	8503	1524
848	8512	1514
849	8522	1503
850	8530	1493
851	8539	1483
852	8549	1473
853	8557	1462
854	8567	1452
855	8574	1442
856	8584	1432
857	8592	1422
858	8602	1412
859	8612	1401
860	8620	1391
861	8631	1381
862	8638	1371
863	8649	1361
864	8657	1351
865	8667	1341
866	8676	1330
867	8685	1320
868	8696	1310
869	8704	1300
870	8714	1290
871	8721	1280
872	8732	1270
873	8742	1260
874	8751	1250
875	8761	1240
876	8769	1229
877	8780	1220
878	8788	1209
879	8799	1199
880	8809	1189
881	8817	1179
882	8827	1169
883	8835	1159
884	8845	1149
885	8853	1139
886	8864	1129
887	8873	1119
888	8882	1109
889	8893	1099
890	8901	1088
891	8911	1078
892	8918	1068
893	8929	1058
894	8939	1048
895	8948	1038
896	8960	1028
897	8967	1018
898	8978	1008
899	8990	998
900	8998	988
901	9008	978
902	9016	968
903	9026	958
904	9034	948
905	9047	938
906	9058	928
907	9068	918
908	9078	908
909	9090	899
910	9100	889
911	9110	879
912	9122	869
913	9131	859
914	9141	849
915	9152	839
916	9161	829
917	9172	819
918	9180	809
919	9190	799
920	9198	789
921	9208	779
922	9219	769
923	9226	758
924	9237	748
925	9245	738
926	9255	728
927	9264	718
928	9273	708
929	9283	698
930	9291	688
931	9302	678
932	9310	668
933	9321	658
934	9329	648
935	9338	638
936	9347	628
937	9356	618
938	9368	608
939	9377	598
940	9386	588
941	9394	578
942	9403	568
943	9412	558
944	9421	548
945	9432	538
946	9439	528
947	9451	518
948	9458	508
949	9468	498
950	9477	488
951	9486	478
952	9496	468
953	9504	458
954	9515	448
955	9523	438
956	9534	428
957	9545	418
958	9552	408
959	9563	398
960	9571	388
961	9581	378
962	9589	368
963	9599	358
964	9608	348
965	9617	338
966	9628	328
967	9636	318
968	9646	308
969	9653	298
970	9664	288
971	9675	278
972	9683	268
973	9694	258
974	9701	248
975	9713	238
976	9723	228
977	9731	218
978	9743	208
979	9752	199
980	9763	189
981	9775	179
982	9784	169
983	9794	159
984	9802	149
985	9811	139
986	9821	129
987	9830	119
988	9841	109
989	9849	99
990	9860	89
991	9868	79
992	9879	69
993	9892	59
994	9905	49
995	9915	39
996	9927	29
997	9940	19
998	9952	9
999	9963	0
